LATITUDE,LONGITUDE,NAME,STID,CELLS11,CELLS12,CELLS13
32.83417,-115.57861,"Imperial, Imperial County Airport",KIPL,80d75e4,80d75e1,80d75e0c
33.93806,-118.38889,"Los Angeles, Los Angeles International Airport",KLAX,80c2b6c,80c2b6d,80c2b6cc
33.81167,-118.14639,"Long Beach, Long Beach Airport",KLGB,80dd324,80dd323,80dd3224
34.66667,-120.46667,"Lompoc, Lompoc Airport",KLPC,80ec194,80ec193,80ec1934
37.69278,-121.81444,"Livermore, Livermore Municipal Airport",KLVK,808fe8c,808fe89,808fe884
36.9851,-120.11064,Madera Municipal Airport,KMAE,8094094,8094097,8094097c
38.66667,-121.4,"Sacramento, McClellan Airfield Airport",KMCC,809ad84,809ad85,809ad85c
37.28306,-120.50778,Merced Regional Airport,KMCE,809142c,8091429,80914294
37.36667,-120.56667,Merced / Castle Air Force Base,KMER,80916ac,80916af,80916afc
38.55996,-121.28397,Sacramento Mather Airport,KMHR,809ac2c,809ac2b,809ac2bc
41.31494,-122.31702,Mount Shasta,KMHS,54cde74,54cde73,54cde72c
35.06667,-118.15,Mojave,KMHV,80c2254,80c2251,80c22504
37.6241,-118.8423,Mammoth Yosemite Airport,KMMH,8096064,8096061,80960614
37.62549,-120.9549,Modesto City-County Airport - Harry Sham Field,KMOD,809054c,809054f,809054f4
36.59047,-121.84875,Monterey Regional Airport,KMRY,808de54,808de51,808de504
32.81444,-117.13639,"San Diego, Montgomery Field",KMYF,80dbffc,80dbffd,80dbffd4
39.09778,-121.56972,"Marysville, Yuba County Airport",KMYV,809b524,809b527,809b5274
33.30472,-117.35389,"Oceanside, Camp Pendleton, Marine Corps Air Station",KNFG,80dc7b4,80dc7b3,80dc7b2c
35.68639,-117.69,"China Lake, Naval Air Facility",KNID,80c113c,80c113b,80c113b4
32.825,-115.66056,"El Centro, Naval Air Facility",KNJK,80d75fc,80d75f9,80d75f8c
32.86833,-117.1425,"San Diego, Miramar MCAS/Mitscher Field Airport",KNKX,80dbff4,80dbff3,80dbff3c
36.30244,-119.93968,Lemoore Naval Air Station - Reeves Field,KNLC,8094bd4,8094bd7,8094bd6c
32.56302,-117.11091,Imperial Beach Naval Outlying Field - Ream Field,KNRS,80d94c4,80d94c7,80d94c74
33.23379,-119.45588,San Nicolas Island Naval Outlying Field,KNSI,80e6354,80e6357,80e6357c
34.12389,-119.12167,"Point Mugu, Naval Air Warfare Center",KNTD,80e8464,80e8461,80e8461c
33.0218,-118.58266,San Clemente Island NALF,KNUC,80dd86c,80dd86b,80dd86a4
37.40583,-122.04806,"Mountain View, Moffett Field",KNUQ,808fb74,808fb71,808fb70c
34.29401,-116.14717,Twentynine Palms SELF Airport,KNXP,80dacc4,80dacc1,80dacc0c
32.69083,-117.20889,"San Diego, North Island, Naval Air Station",KNZY,80deacc,80deac9,80deac8c
37.7178,-122.23294,"Oakland, Metro Oakland International Airport",KOAK,808f844,808f845,808f845c
33.21806,-117.35139,"Oceanside, Oceanside Municipal Airport",KOKB,80dc704,80dc703,80dc702c
34.05316,-117.57685,Ontario International Airport,KONT,80c3354,80c3351,80c33514
39.49436,-121.62223,Oroville Municipal Airport,KOVE,809cb54,809cb53,809cb52c
34.20056,-119.20306,"Oxnard, Oxnard Airport",KOXR,80e84dc,80e84dd,80e84ddc
34.62972,-118.08139,"Palmdale, Palmdale Production Flight Plant",KPMD,80c2574,80c2573,80c25734
35.66941,-120.62912,Paso Robles Municipal Airport,KPRB,80eccf4,80eccf5,80eccf4c
33.82219,-116.50431,Palm Springs Regional Airport,KPSP,80db1cc,80db1c9,80db1c84
36.03333,-119.06667,"Porterville, Porterville Municipal Airport",KPTV,80eac74,80eac77,80eac774
33.95299,-117.43491,Riverside Municipal Airport,KRAL,80dcb14,80dcb13,80dcb13c
40.15056,-122.25222,"Red Bluff, Red Bluff Municipal Airport",KRBL,808283c,808283f,808283f4
40.51461,-122.2977,Redding Municipal Airport,KRDD,54d2eac,54d2ea9,54d2ea94
33.9,-117.25,Riverside / March Air Force Base,KRIV,80dca64,80dca67,80dca664
33.0375,-116.91583,"Ramona, Ramona Airport",KRNM,80dbef4,80dbef7,80dbef6c
38.50674,-121.49597,Sacramento Executive Airport,KSAC,809ace4,809ace3,809ace2c
32.73361,-117.18306,"San Diego, San Diego International-Lindbergh Field",KSAN,80deab4,80deab3,80deab34
34.42611,-119.84361,"Santa Barbara, Santa Barbara Municipal Airport",KSBA,80e93f4,80e93f7,80e93f7c
34.09027,-117.24705,San Bernardino Intl. Airport,KSBD,80dcab4,80dcab5,80dcab44
35.23611,-120.63611,"San Luis Obispo, San Luis Obispo County-Mc Chesney Field",KSBP,80ecf6c,80ecf6b,80ecf6bc
37.88972,-121.22361,"Stockton, Stockton Metropolitan Airport",KSCK,80906b4,80906b7,80906b74
34.74361,-118.72444,Sandberg,KSDB,80e9e0c,80e9e0f,80e9e0f4
32.57528,-116.99306,"San Diego, Brown Field Municipal Airport",KSDM,80d948c,80d948b,80d948a4
32.82738,-116.97369,Gillespie Field Airport,KSEE,80d9584,80d9581,80d9581c
37.61961,-122.36558,"San Francisco, San Francisco International Airport",KSFO,808f77c,808f77f,808f77e4
41.77375,-122.46817,Montague Siskiyou County Airport,KSIY,54ce5a4,54ce5a3,54ce5a34
37.35917,-121.92417,"San Jose, San Jose International Airport",KSJC,808fcbc,808fcb9,808fcb94
33.79628,-118.04179,Los Alamitos Army Airfield,KSLI,80dd2ec,80dd2ed,80dd2edc
38.70071,-121.59479,Sacramento International Airport,KSMF,809b2b4,809b2b7,809b2b64
34.01583,-118.45139,"Santa Monica, Santa Monica Municipal Airport",KSMO,80c2bac,80c2baf,80c2bae4
34.89408,-120.45212,Santa Maria Public Airport/Capt G Allan Hancock Field,KSMX,80ec14c,80ec14b,80ec14bc
33.6798,-117.8674,John Wayne-Orange County Airport,KSNA,80dcdec,80dcdef,80dcdee4
36.66361,-121.60806,"Salinas, Salinas Municipal Airport",KSNS,809207c,8092079,8092079c
38.5,-122.81667,"Santa Rosa, Santa Rosa Sonoma County Airport",KSTS,80843c4,80843c1,80843c1c
38.26667,-121.95,Fairfield / Travis Air Force Base,KSUU,80853e4,80853e5,80853e54
39.31667,-120.13333,Truckee-Tahoe,KTRK,809961c,809961b,809961b4
33.62667,-116.15944,"Palm Springs, Jacqueline Cochran Regional Airport",KTRM,80da594,80da595,80da5944
38.89836,-119.99615,"South Lake Tahoe, Lake Tahoe Airport",KTVL,80998e4,80998e3,80998e34
39.12783,-123.20011,Ukiah Municipal Airport,KUKI,8081644,8081645,80816444
34.72944,-120.57667,"Lompoc, Vandenberg Air Force Base",KVBG,80ec3cc,80ec3cd,80ec3cdc
38.37755,-121.95853,Vacaville Nut Tree Airport,KVCB,808522c,808522d,808522d4
36.31667,-119.4,"Visalia, Visalia Municipal Airport",KVIS,809527c,809527f,809527e4
34.2125,-118.49083,"Van Nuys, Van Nuys Airport",KVNY,80c29a4,80c29a1,80c29a04
34.74123,-118.21251,General Wm J Fox Airfield,KWJF,80c243c,80c2439,80c2438c
41.58528,-120.17139,CEDARVILLE,CEDC,54cbae4,54cbae1,54cbae1c
39.42752,-120.31342,INDEPENDENCE LAKE,ILKC1,809be54,809be51,809be50c
34.446389,-118.1968,ACTON,ATNC1,80c2f14,80c2f15,80c2f154
40.186017,-123.591061,ALDER POINT,ALDC1,54d49a4,54d49a5,54d49a44
39.651617,-122.724533,ALDER SPRINGS,ECKC1,8082384,8082387,80823874
33.555864,-116.674542,ANZA,NZAC1,80dba74,80dba71,80dba714
35.302983,-120.678739,SAN LUIS OBISPO,ARGC1,80ecf04,80ecf03,80ecf03c
36.235481,-121.479881,ARROYO SECO,ASRC1,80927d4,80927d1,80927d1c
41.276808,-121.980569,ASH CREEK,MCCC1,54cdc5c,54cdc5d,54cdc5dc
38.904167,-120.705222,BALD MTN LOC,BDMC1,809bb2c,809bb2b,809bb2a4
39.380747,-121.386228,BANGOR,BNGC1,809ca44,809ca43,809ca424
38.028056,-122.702222,BARNABY,BBEC1,8085bf4,8085bf7,8085bf74
35.881944,-118.075556,BEAR PEAK,BPKC1,80c052c,80c052f,80c052e4
33.551833,-117.572944,BELL CANYON,CAPC1,80dced4,80dced5,80dced44
38.590836,-120.933622,BEN BOLT,BENC1,809af5c,809af5d,809af5d4
37.130936,-122.172606,BEN LOMOND,BNDC1,808e4e4,808e4e3,808e4e24
37.843333,-118.478528,BENTON,BETC1,80bdefc,80bdefd,80bdefd4
34.124861,-118.412569,BEVERLY HILLS,BVRC1,80c2bdc,80c2bdd,80c2bdc4
40.742164,-123.249178,BIG BAR,BGBC1,54d3b6c,54d3b6f,54d3b6ec
37.95,-121.884444,BLACK DIAMOND,PIBC1,808558c,808558b,808558bc
41.054083,-120.337528,BLUE DOOR,BDOC1,54cb5ec,54cb5ef,54cb5efc
40.592075,-121.077947,BOGARD R.S.,BOGC1,54cd2d4,54cd2d5,54cd2d44
38.987356,-123.348464,BOONVILLE,BNVC1,808169c,808169f,808169fc
35.185233,-120.084989,BRANCH MOUNTAIN,BRHC1,80eb864,80eb861,80eb8614
41.675756,-122.599903,BRAZIE RANCH,BZRC1,54ce414,54ce415,54ce4144
37.934167,-122.117778,BRIONES,PLEC1,808563c,8085639,8085638c
38.738364,-122.144686,BROOKS,BKSC1,8084ed4,8084ed1,8084ed14
40.481472,-120.115083,BULL FLAT,BUFC1,809e764,809e767,809e767c
34.208417,-116.621611,BURNS CANYON,BCNC1,80db324,80db327,80db3264
37.553056,-121.843889,CALAVERAS ROAD,PEAC1,808fc4c,808fc49,808fc494
41.299739,-122.825525,CALLAHAN #2,CLNC1,54d1fec,54d1fe9,54d1fe8c
32.721189,-116.464669,CAMERON FIRE STATION,CMNC1,80d9764,80d9767,80d97664
34.35325,-118.418578,CAMP 9,CNIC1,80c28ec,80c28ef,80c28ef4
35.096528,-119.773222,CARRIZO,CAZC1,80ebbfc,80ebbff,80ebbff4
33.445878,-117.419117,CASE SPRINGS,CSPC1,80dc894,80dc891,80dc8904
37.759469,-119.820561,CRANE,CNFC1,8096c2c,8096c2d,8096c2cc
34.186575,-118.719561,CHEESEBORO,CEEC1,80e8274,80e8271,80e82704
40.292608,-121.243939,CHESTER,CESC1,809d6a4,809d6a1,809d6a14
39.589833,-121.635161,OPENSHAW,CICC1,808334c,808334b,808334ac
34.331667,-118.030278,CHILAO,CHOC1,80c2e44,80c2e41,80c2e404
34.806369,-119.013625,CHUCHUPATE,CUUC1,80e9ed4,80e9ed7,80e9ed64
34.1368,-117.707569,CLAREMONT,CMOC1,80c3304,80c3305,80c33044
39.871836,-121.768983,COHASSET,CSTC1,8082d0c,8082d0f,8082d0e4
34.194167,-116.913056,CONVERSE,CVEC1,80c4b34,80c4b35,80c4b34c
40.256833,-124.266028,COOSKIE MOUNTAIN,PTEC1,54d450c,54d4509,54d4509c
39.938944,-122.169733,CORNING,CRGC1,8082ed4,8082ed5,8082ed5c
36.990856,-121.804881,CORRALITOS,CTOC1,808e19c,808e19d,808e19d4
39.018833,-122.411694,COUNTY LINE,WISC1,808380c,808380f,808380fc
41.976389,-123.612222,CRAZY PEAK,CRZC1,54cfe1c,54cfe19,54cfe18c
37.737447,-118.996581,CRESTVIEW,CRVC1,809613c,8096139,8096139c
34.429719,-118.667119,DEL VALLE,DLVC1,80c27fc,80c27ff,80c27ff4
32.857394,-116.622392,DESCANSO,DENC1,80d9634,80d9635,80d96344
41.528394,-120.672544,DEVILS GARDEN,ATSC1,54cb924,54cb923,54cb9224
34.182139,-117.385111,DEVORE,DVOC1,80c34e4,80c34e3,80c34e3c
37.329269,-121.295381,DIABLO GRANDE,DBLC1,8091c7c,8091c7d,8091c7c4
39.303514,-121.11725,READER RANCH,RRRC1,809b634,809b637,809b637c
40.058861,-120.093722,DOYLE,DYLC1,809e9c4,809e9c3,809e9c3c
39.825278,-123.0825,EEL RIVER (MNF),EELC1,8081f84,8081f81,8081f80c
33.647114,-117.412031,EL CARISO,ECSC1,80dc914,80dc913,80dc912c
34.634361,-117.548889,EL MIRAGE,EMRC1,80c374c,80c374d,80c374cc
38.284417,-120.48975,BANNER ROAD,ESPC1,8090a1c,8090a19,8090a19c
36.8837,-119.475719,FANCHER CREEK,FCHC1,8094524,8094525,80945254
34.266111,-116.898889,FAWNSKIN,FWSC1,80c4b3c,80c4b3f,80c4b3fc
32.990306,-116.066972,FISH CREEK MOUNTAINS,FHCC1,80d98b4,80d98b1,80d98b14
35.891161,-118.915594,FOUNTAIN SPRINGS,FTNC1,80ea96c,80ea96d,80ea96dc
33.811139,-117.708361,FREMONT CANYON,FRCC1,80dcc54,80dcc57,80dcc56c
40.505522,-123.343197,FRIEND MTN.,FMOC1,54d39f4,54d39f1,54d39f04
34.592586,-117.168303,APPLE VALLEY 2,GNTC1,80c49d4,80c49d7,80c49d64
40.781694,-120.784372,GRASSHOPPER,GRSC1,54cccfc,54cccfb,54cccfb4
37.834181,-120.503106,GREEN SPRING,GNSC1,8090ddc,8090ddb,8090dda4
36.3885,-121.551594,HASTINGS,CAHC1,809276c,809276d,809276c4
38.735086,-122.837058,HAWKEYE,HWKC1,80840e4,80840e5,80840e5c
39.069711,-120.419886,HELL HOLE,HLLC1,809bcec,809bceb,809bcebc
36.382542,-120.855819,HERNANDEZ,HDZC1,8093aac,8093aa9,8093aa84
39.208897,-122.809989,HIGH GLADE LOOKOUT,HGLC1,8083c3c,8083c3d,8083c3dc
40.623333,-120.477778,HORSE LAKE,HLKC1,809df24,809df27,809df264
35.770667,-115.909417,HORSE THIEF SPRINGS,HTSC1,80c609c,80c609b,80c609ac
36.5625,-117.473611,HUNTER MOUNTAIN,HTRC1,80c0a3c,80c0a3f,80c0a3e4
35.294889,-118.226778,JAWBONE,JWBC1,80c18dc,80c18dd,80c18dcc
41.8019,-122.1097,JUANITA LAKE,JTAC1,54cef2c,54cef29,54cef28c
33.075686,-116.592575,JULIAN,JULC1,80dbd04,80dbd07,80dbd06c
41.332667,-120.472806,JUNIPER CREEK,JPRC1,54cb77c,54cb779,54cb778c
33.708325,-116.716939,KEENWILD,KNWC1,80db0dc,80db0dd,80db0dc4
35.7772,-118.433739,RIVERKERN,KRNC1,80c0334,80c0333,80c03324
36.031139,-120.054833,KETTLEMAN HILLS,KTLC1,8094ac4,8094ac7,8094ac6c
38.861944,-122.417222,KNOXVILLE CREEK,KNXC1,80847cc,80847cf,80847cf4
37.305233,-122.255253,LA HONDA,LAHC1,808faec,808faeb,808faeb4
35.380725,-120.188094,LA PANZA,LPZC1,80ec824,80ec823,80ec8224
40.807106,-121.296506,LADDER BUTTE,LDRC1,54cd22c,54cd229,54cd2284
35.656447,-120.9241,LAS TABLAS,TABC1,80ed2a4,80ed2a3,80ed2a24
37.833889,-122.066944,LAS TRAMPAS,LTRC1,808f8bc,808f8bd,808f8bcc
40.344144,-121.713733,LASSEN LODGE,LSNC1,8082abc,8082abd,8082abd4
40.141667,-120.353333,LAUFMAN,LAFC1,809c324,809c321,809c320c
34.045114,-118.935989,LEO CARRILLO,LCBC1,80e83dc,80e83dd,80e83dc4
38.881031,-121.266689,LINCOLN,LICC1,809b3d4,809b3d5,809b3d54
37.354722,-122.141667,LOS ALTOS,LOAC1,808fb1c,808fb1b,808fb1b4
37.0548,-121.053094,LOS BANOS,SLRC1,809185c,809185b,809185a4
37.204167,-121.950833,LOS GATOS,LSGC1,808e364,808e365,808e365c
34.544397,-119.791286,LOS PRIETOS,LPOC1,80e9424,80e9427,80e94274
34.017792,-116.188569,LOST HORSE,LTHC1,80dae84,80dae83,80dae82c
39.125833,-123.073333,LYONS VALLEY,COWC1,8083df4,8083df7,8083df64
34.061561,-118.645219,MALIBU HILLS,MBUC1,80c2a04,80c2a05,80c2a044
37.817222,-121.778889,MALLORY RIDGE,LVMC1,808ffac,808ffad,808ffacc
40.540114,-121.580164,MANZANITA LAKE,VIOC1,54cd504,54cd505,54cd504c
37.504025,-119.986794,MARIPOSA,MPOC1,8096b74,8096b77,8096b76c
38.690444,-119.774972,MARKLEEVILLE,MKEC1,8099dd4,8099dd5,8099dd44
37.4094,-119.767894,METCALF GAP,MCFC1,809698c,8096989,80969894
35.123167,-115.411306,MID HILLS,MDHC1,80cf9c4,80cf9c7,80cf9c6c
34.390278,-118.0825,MILL CREEK (ANF),MLCC1,80c2e54,80c2e53,80c2e534
34.079842,-117.046761,MILL CREEK (BDF),MMKC1,80db53c,80db53d,80db53dc
35.535861,-118.140333,BIRD SPRINGS PASS,BIJC1,80c1bd4,80c1bd7,80c1bd6c
34.461397,-119.649014,MONTECITO,MTIC1,80e912c,80e912d,80e912dc
38.390064,-120.652403,MOUNT ZION,MTZC1,809a714,809a713,809a713c
32.881217,-116.428803,MT. LAGUNA,MLGC1,80d978c,80d978b,80d978ac
36.843611,-118.265556,OAK CREEK,IDPC1,80bfbf4,80bfbf3,80bfbf34
33.385967,-116.796836,OAK GROVE,OGVC1,80db984,80db981,80db9804
41.838358,-122.850153,OAK KNOLL,OKNC1,54ce4b4,54ce4b3,54ce4b2c
41.006331,-121.984431,OAK MOUNTAIN,OMTC1,54cd994,54cd997,54cd997c
37.865,-122.220833,OAKLAND NORTH,ONOC1,80857dc,80857db,80857dac
37.786111,-122.144722,OAKLAND SOUTH,OKSC1,808f88c,808f88d,808f88cc
35.154278,-117.175694,OPAL MOUNTAIN,OPLC1,80c3f5c,80c3f59,80c3f584
38.735819,-120.241583,OWENS CAMP,OWNC1,809a21c,809a21f,809a21f4
36.727136,-120.765872,PANOCHE ROAD,PCEC1,8093c9c,8093c9d,8093c9d4
36.724167,-118.9425,PARK RIDGE,PRGC1,80956e4,80956e7,80956e74
35.898306,-120.433286,PARKFIELD,PKFC1,80934cc,80934c9,80934c84
40.286083,-122.874689,PATTYMOCUS,PMCC1,54d33e4,54d33e7,54d33e7c
40.246111,-120.642222,PIERCE,PIEC1,809db0c,809db0b,809db0bc
39.474683,-121.202394,PIKE COUNTY LOOKOUT,PKCC1,809c99c,809c99b,809c99bc
38.831681,-121.0092,PILOT HILL,PLTC1,809b024,809b023,809b023c
34.728319,-118.394058,POPPY PARK,PPPC1,80c26c4,80c26c1,80c26c04
32.605861,-116.608822,POTRERO,POTC1,80d96d4,80d96d5,80d96d5c
37.443056,-121.770556,POVERTY,MIPC1,808fd1c,808fd19,808fd19c
37.475,-122.298056,PULGAS,PUGC1,808fa1c,808fa1b,808fa1bc
41.599119,-122.933675,QUARTZ HILL,QTZC1,54ce24c,54ce249,54ce248c
39.973333,-120.941944,QUINCY RD,QYRC1,809cfec,809cfef,809cfee4
33.222222,-116.497461,RANCHITA,RCHC1,80dbcbc,80dbcbf,80dbcbec
34.06075,-114.732278,RICE VALLEY,RVYC1,80d1a8c,80d1a89,80d1a88c
37.501944,-121.735556,ROSE PEAK,RSPC1,808fd0c,808fd0b,808fd0bc
34.543383,-119.184931,ROSE VALLEY,ROVC1,80e9bc4,80e9bc5,80e9bc5c
41.427111,-121.462511,ROUND MOUNTAIN,RNDC1,54cc3ec,54cc3eb,54cc3ea4
34.668569,-117.821839,SADDLEBACK BUTTE,SDLC1,80c3a94,80c3a97,80c3a97c
33.487428,-119.030322,SANTA BARBARA,SBIC1,80e7e84,80e7e81,80e7e814
33.992981,-119.716264,SANTA CRUZ ISLAND,SNCC1,80e8e64,80e8e61,80e8e614
34.126139,-117.947169,SANTA FE DAM,STFC1,80c2d84,80c2d87,80c2d86c
36.348111,-120.600111,SANTA RITA,SRTC1,80930c4,80930c3,80930c3c
38.478483,-122.711797,SANTA ROSA,RSAC1,8084474,8084477,8084477c
33.978686,-120.078778,SANTA ROSA ISLAND,SRIC1,80e8d44,80e8d41,80e8d414
33.518103,-117.229061,SANTA ROSA PLATEAU,SRUC1,80dc814,80dc817,80dc8174
34.435011,-118.513181,SAUGUS,SAUC1,80c287c,80c2879,80c28794
41.301233,-123.129714,SAWYERS BAR,SWBC1,54d1ee4,54d1ee1,54d1ee14
39.183833,-120.884422,SECRET TOWN,SETC1,809b9e4,809b9e3,809b9e2c
36.567072,-118.957875,SHADEQUARTER,SHQC1,809541c,809541f,809541f4
41.071303,-122.369931,SIMS,SMSC1,54cd8b4,54cd8b3,54cd8b34
41.858336,-123.353661,SLATER BUTTE,ATRC1,54cfda4,54cfda3,54cfda24
39.425,-122.977222,SODA CREEK,SOAC1,80822cc,80822c9,80822c94
40.926781,-121.584325,SOLDIER MTN,SDRC1,54cd0ec,54cd0ef,54cd0ee4
41.390069,-123.492672,SOMES BAR,SMBC1,54d1bec,54d1bed,54d1bec4
37.5625,-122.436389,SPRING VALLEY,HSPC1,808f76c,808f76d,808f76cc
35.368278,-117.570444,SQUAW SPRINGS,SQSC1,80c1604,80c1607,80c16064
39.471094,-120.086975,STAMPEDE,SMDC1,8099594,8099597,8099596c
34.206944,-117.760556,TANBARK,TANC1,80c324c,80c324d,80c324c4
39.854214,-122.609903,THOMES CREEK,TCKC1,8082694,8082697,80826974
40.786419,-122.804486,TRINITY CAMP,TCAC1,54d25b4,54d25b3,54d25b2c
33.237011,-117.008592,VALLEY CENTER,VLCC1,80db8dc,80db8df,80db8dec
41.642967,-121.794875,VAN BREMMER,VABC1,54ce9bc,54ce9b9,54ce9b8c
35.665833,-118.056944,WALKER PASS,ONYC1,80c1a5c,80c1a5b,80c1a5ac
34.595833,-118.578611,WARM SPRINGS,WMSC1,80c27a4,80c27a1,80c27a04
41.478925,-122.454625,WEED AIRPORT,WEEC1,54ce72c,54ce72d,54ce72cc
40.305867,-120.903322,WESTWOOD,WWDC1,809d0ac,809d0a9,809d0a84
39.316667,-120.8375,WHITE CLOUD,CISC1,809b834,809b833,809b8334
40.619475,-121.899622,WHITMORE,WITC1,54d2a04,54d2a01,54d2a004
33.984,-118.009431,WHITTIER HILLS,WTHC1,80c2d44,80c2d41,80c2d40c
36.445,-118.703333,WOLVERTON,WVTC1,8095564,8095565,8095564c
37.859417,-119.651667,WWOLF,WWRC1,8096e44,8096e45,8096e45c
40.337447,-123.065622,YOLLA BOLLA,YOBC1,54d36cc,54d36cb,54d36cac
34.124081,-116.408831,YUCCA VALLEY,UCCC1,80dad84,80dad81,80dad80c
37.40715,-119.345853,MINARETS,MTTC1,8095d5c,8095d5f,8095d5ec
33.505361,-115.839694,DOS PALMAS,DPMC1,80da724,80da721,80da7214
36.093453,-118.261081,BLACKROCK,BKRC1,80c0404,80c0405,80c04054
40.441917,-120.626944,HIDDEN VALLEY,HDVC1,809d964,809d967,809d9674
32.973639,-115.1735,CAHUILLA,QCAC1,80d73c4,80d73c1,80d73c14
33.76875,-116.480111,CATHEDRAL CANYON,EDRC1,80db034,80db033,80db033c
33.877147,-117.304072,CLARK,CLHC1,80dca44,80dca45,80dca454
41.774964,-122.951819,COLLINS BALDY,CLBC1,54ce34c,54ce349,54ce348c
39.926944,-122.641944,EAGLE PEAK,EPKC1,80826dc,80826dd,80826dc4
35.871111,-117.918333,FIVE MILE,FMRC1,80c1004,80c1007,80c10074
41.829908,-120.863381,BLUE MOUNTAIN,BMUC1,54cbe04,54cbe03,54cbe03c
40.548514,-123.165133,HAYFORK,HYFC1,54d3a74,54d3a71,54d3a714
41.711667,-121.506389,INDIAN WELL,IDWC1,54cea64,54cea67,54cea664
35.684889,-117.889667,INDIAN WELLS CANYON,IWLC1,80c109c,80c109b,80c109a4
35.971133,-118.540739,JOHNSONDALE,JSNC1,80c0244,80c0247,80c0247c
35.478083,-117.699333,LAURAL MOUNTAIN,LRLC1,80c16fc,80c16f9,80c16f9c
40.463022,-123.523786,MAD RIVER,MDDC1,54d3834,54d3831,54d38314
34.371667,-118.840833,WILEY RIDGE,WLYC1,80e9d2c,80e9d2b,80e9d2b4
34.384194,-116.524,MEANS LAKE,MNLC1,80c4d14,80c4d13,80c4d134
37.054114,-119.372089,MOUNTAIN REST,MTQC1,8095b4c,8095b4f,8095b4f4
41.315336,-122.316561,MT. SHASTA,MSAC1,54cde74,54cde73,54cde72c
37.233069,-119.505847,NORTH FORK,NFRC1,80942dc,80942df,80942dfc
36.175294,-118.701717,OAK OPENING,OORC1,80eaa7c,80eaa7d,80eaa7dc
36.47075,-121.147278,PINNACLES,PCLC1,809244c,809244d,809244c4
39.667958,-123.321292,RODEO VALLEY,RDVC1,8081eec,8081ee9,8081ee9c
41.288072,-120.869647,RUSH CREEK,RSHC1,54cc7c4,54cc7c5,54cc7c5c
32.90775,-114.474028,SQUAW LAKE,SWLC1,80d6924,80d6925,80d6925c
40.915961,-122.434833,SUGARLOAF (SHF),SLFC1,54d270c,54d2709,54d2709c
33.754742,-117.500103,TEMESCAL 2  (CNF),TSCC1,80dcbe4,80dcbe5,80dcbe54
35.886675,-118.648336,UHL,UHLC1,80c027c,80c027d,80c027c4
40.753647,-122.932136,FIVE CENT,WEFC1,54d24e4,54d24e1,54d24e1c
33.878167,-116.953139,HIGHLAND SPRINGS,HSGC1,80db42c,80db42f,80db42e4
39.030833,-123.080556,HOPLAND UC,HPDC1,80815f4,80815f7,80815f7c
33.931833,-116.805278,CABAZON,BAZC1,80db40c,80db409,80db409c
